"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","1990","Total","December","Data tabulated by year of occurrence","Final figure, complete","1991","350000",""
"United States of America","1989","Total","January","Data tabulated by year of occurrence","Final figure, complete","1991","320422",""
"United States of America","1989","Total","February","Data tabulated by year of occurrence","Final figure, complete","1991","308391",""
"United States of America","1989","Total","March","Data tabulated by year of occurrence","Final figure, complete","1991","339912",""
"United States of America","1989","Total","April","Data tabulated by year of occurrence","Final figure, complete","1991","318779",""
"United States of America","1989","Total","May","Data tabulated by year of occurrence","Final figure, complete","1991","336320",""
"United States of America","1989","Total","June","Data tabulated by year of occurrence","Final figure, complete","1991","330973",""
"United States of America","1989","Total","July","Data tabulated by year of occurrence","Final figure, complete","1991","356716",""
"United States of America","1989","Total","August","Data tabulated by year of occurrence","Final figure, complete","1991","366579",""
"United States of America","1989","Total","September","Data tabulated by year of occurrence","Final figure, complete","1991","357344",""
"United States of America","1989","Total","October","Data tabulated by year of occurrence","Final figure, complete","1991","344161",""
"United States of America","1989","Total","November","Data tabulated by year of occurrence","Final figure, complete","1991","325543",""
"United States of America","1989","Total","December","Data tabulated by year of occurrence","Final figure, complete","1991","335818",""
"United States of America","1988","Total","January","Data tabulated by year of occurrence","Final figure, complete","1990","310214",""
"United States of America","1988","Total","February","Data tabulated by year of occurrence","Final figure, complete","1990","298464",""
"United States of America","1988","Total","March","Data tabulated by year of occurrence","Final figure, complete","1990","321920",""
"United States of America","1988","Total","April","Data tabulated by year of occurrence","Final figure, complete","1990","309185",""
"United States of America","1988","Total","May","Data tabulated by year of occurrence","Final figure, complete","1990","325953",""
"United States of America","1988","Total","June","Data tabulated by year of occurrence","Final figure, complete","1990","328868",""
"United States of America","1988","Total","July","Data tabulated by year of occurrence","Final figure, complete","1990","346417",""
"United States of America","1988","Total","August","Data tabulated by year of occurrence","Final figure, complete","1990","354165",""
"United States of America","1988","Total","September","Data tabulated by year of occurrence","Final figure, complete","1990","346855",""
"United States of America","1988","Total","October","Data tabulated by year of occurrence","Final figure, complete","1990","331220",""
"United States of America","1988","Total","November","Data tabulated by year of occurrence","Final figure, complete","1990","314321",""
"United States of America","1988","Total","December","Data tabulated by year of occurrence","Final figure, complete","1990","321928",""
"United States of America","1987","Total","January","Data tabulated by year of occurrence","Final figure, complete","1990","305069",""
"United States of America","1987","Total","February","Data tabulated by year of occurrence","Final figure, complete","1990","283477",""
"United States of America","1987","Total","March","Data tabulated by year of occurrence","Final figure, complete","1990","317462",""
"United States of America","1987","Total","April","Data tabulated by year of occurrence","Final figure, complete","1990","307768",""
"United States of America","1987","Total","May","Data tabulated by year of occurrence","Final figure, complete","1990","319784",""
"United States of America","1987","Total","June","Data tabulated by year of occurrence","Final figure, complete","1990","321024",""
"United States of America","1987","Total","July","Data tabulated by year of occurrence","Final figure, complete","1990","336381",""
"United States of America","1987","Total","August","Data tabulated by year of occurrence","Final figure, complete","1990","331351",""
"United States of America","1987","Total","September","Data tabulated by year of occurrence","Final figure, complete","1990","334058",""
"United States of America","1987","Total","October","Data tabulated by year of occurrence","Final figure, complete","1990","326392",""
"United States of America","1987","Total","November","Data tabulated by year of occurrence","Final figure, complete","1990","306346",""
"United States of America","1987","Total","December","Data tabulated by year of occurrence","Final figure, complete","1990","320282",""
"United States of America","1986","Total","January","Data tabulated by year of occurrence","Final figure, complete","1988","306183",""
"United States of America","1986","Total","February","Data tabulated by year of occurrence","Final figure, complete","1988","282526",""
"United States of America","1986","Total","March","Data tabulated by year of occurrence","Final figure, complete","1988","312394",""
"United States of America","1986","Total","April","Data tabulated by year of occurrence","Final figure, complete","1988","304103",""
"United States of America","1986","Total","May","Data tabulated by year of occurrence","Final figure, complete","1988","315975",""
"United States of America","1986","Total","June","Data tabulated by year of occurrence","Final figure, complete","1988","307668",""
"United States of America","1986","Total","July","Data tabulated by year of occurrence","Final figure, complete","1988","334499",""
"United States of America","1986","Total","August","Data tabulated by year of occurrence","Final figure, complete","1988","333875",""
"United States of America","1986","Total","September","Data tabulated by year of occurrence","Final figure, complete","1988","334196",""
"United States of America","1986","Total","October","Data tabulated by year of occurrence","Final figure, complete","1988","319134",""
"United States of America","1986","Total","November","Data tabulated by year of occurrence","Final figure, complete","1988","293252",""
"United States of America","1986","Total","December","Data tabulated by year of occurrence","Final figure, complete","1988","312742",""
"United States of America","1985","Total","January","Data tabulated by year of occurrence","Final figure, complete","1987","304073",""
"United States of America","1985","Total","February","Data tabulated by year of occurrence","Final figure, complete","1987","281261",""
"United States of America","1985","Total","March","Data tabulated by year of occurrence","Final figure, complete","1987","310679",""
"United States of America","1985","Total","April","Data tabulated by year of occurrence","Final figure, complete","1987","301777",""
"United States of America","1985","Total","May","Data tabulated by year of occurrence","Final figure, complete","1987","317596",""
"United States of America","1985","Total","June","Data tabulated by year of occurrence","Final figure, complete","1987","308477",""
"United States of America","1985","Total","July","Data tabulated by year of occurrence","Final figure, complete","1987","333484",""
"United States of America","1985","Total","August","Data tabulated by year of occurrence","Final figure, complete","1987","336575",""
"United States of America","1985","Total","September","Data tabulated by year of occurrence","Final figure, complete","1987","331283",""
"United States of America","1985","Total","October","Data tabulated by year of occurrence","Final figure, complete","1987","322997",""
"United States of America","1985","Total","November","Data tabulated by year of occurrence","Final figure, complete","1987","301551",""
"United States of America","1985","Total","December","Data tabulated by year of occurrence","Final figure, complete","1987","310808",""
